,ppg
692,32.28327
693,32.28327
694,32.28327
695,30.598291
696,30.598291
697,28.88889
698,28.88889
699,28.88889
700,27.155067
701,27.155067
702,25.445665
703,25.445665
704,23.858364
705,23.858364
706,23.858364
707,22.417583
708,22.417583
709,21.147741
710,21.147741
711,21.147741
712,20.17094
713,20.17094
714,19.60928
715,19.60928
716,19.41392
717,19.41392
718,19.41392
719,19.5116
720,19.5116
721,19.97558
722,19.97558
723,19.97558
724,20.78144
725,20.78144
726,21.831503
727,21.831503
728,22.979244
729,22.979244
730,22.979244
731,24.249084
732,24.249084
733,25.518927
734,25.518927
735,25.518927
736,26.739927
737,26.739927
738,27.838829
739,27.838829
740,28.766788
741,28.766788
742,28.766788
743,29.52381
744,29.52381
745,30.10989
746,30.10989
747,30.10989
748,30.549452
749,30.549452
750,30.818071
751,30.818071
752,30.86691
753,30.86691
754,30.86691
755,30.793652
756,30.793652
757,30.647131
758,30.647131
759,30.647131
760,30.354092
761,30.354092
762,29.93895
763,29.93895
764,29.42613
765,29.42613
766,29.42613
767,28.86447
768,28.86447
769,28.22955
770,28.22955
771,28.22955
772,27.521368
773,27.521368
774,26.764347
775,26.764347
776,25.982906
777,25.982906
778,25.982906
779,25.201466
780,25.201466
781,24.395605
782,24.395605
783,24.395605
784,23.589745
785,23.589745
786,22.783884
787,22.783884
788,22.002443
789,22.002443
790,22.002443
791,21.294262
792,21.294262
793,20.683762
794,20.683762
795,20.683762
796,20.17094
797,20.17094
798,19.78022
799,19.78022
800,19.56044
801,19.56044
802,19.56044
803,19.462759
804,19.462759
805,19.43834
806,19.43834
807,19.43834
808,19.48718
809,19.48718
810,19.60928
811,19.60928
812,19.7558
813,19.7558
814,19.7558
815,19.82906
816,19.82906
817,19.78022
818,19.78022
819,19.78022
820,19.68254
821,19.68254
822,19.58486
823,19.58486
824,19.56044
825,19.56044
826,19.56044
827,19.78022
828,19.78022
829,20.56166
830,20.56166
831,20.56166
832,21.978022
833,21.978022
834,24.078144
835,24.078144
836,27.081808
837,27.081808
838,27.081808
839,30.964592
840,30.964592
841,35.457874
842,35.457874
843,35.457874
844,40.2442
845,40.2442
846,45.030525
847,45.030525
848,49.35287
849,49.35287
850,49.35287
851,53.137974
852,53.137974
853,56.263737
854,56.263737
855,56.263737
856,58.48596
857,58.48596
858,59.82906
859,59.82906
860,60.46398
861,60.46398
862,60.46398
863,60.586082
864,60.586082
865,60.2442
866,60.2442
867,60.2442
868,59.56044
869,59.56044
870,58.705738
871,58.705738
872,57.77778
873,57.77778
874,57.77778
875,56.84982
876,56.84982
877,55.946278
878,55.946278
879,55.946278
880,55.115997
881,55.115997
882,54.407814
883,54.407814
884,53.797314
885,53.797314
886,53.797314
887,53.284492
888,53.284492
889,52.844933
890,52.844933
891,52.844933
892,52.478634
893,52.478634
894,
895,
